"","datetime","time","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","dayOfWeek"
"4244",2011-10-08 21:00:00,"21:00:00","4","0","0","1",21.32,25,77,0,187,"maandag"
"6527",2012-03-09 05:00:00,"05:00:00","1","0","1","3",16.4,20.455,66,190.012,29,"vrijdag"
"8635",2012-08-02 04:00:00,"04:00:00","3","0","1","1",27.06,30.305,83,0,9,"dinsdag"
"4017",2011-09-18 10:00:00,"10:00:00","3","0","0","1",20.5,24.24,72,110.014,260,"donderdag"
"8073",2012-06-16 18:00:00,"18:00:00","2","0","0","2",29.52,32.575,37,150.013,571,"maandag"
"6319",2012-02-19 13:00:00,"13:00:00","1","0","0","1",12.3,15.15,49,110.014,261,"woensdag"
"3228",2011-08-04 10:00:00,"10:00:00","3","0","1","1",29.52,33.335,71,199.995,113,"vrijdag"
"5268",2011-12-13 14:00:00,"14:00:00","4","0","1","1",16.4,20.455,37,169.979,134,"vrijdag"
"6651",2012-03-14 10:00:00,"10:00:00","1","0","1","1",22.96,26.515,56,70.015,188,"donderdag"
"4162",2011-10-05 11:00:00,"11:00:00","4","0","1","1",24.6,31.06,46,190.012,170,"donderdag"
"3774",2011-09-08 06:00:00,"06:00:00","3","0","1","3",25.42,27.275,94,110.014,56,"zaterdag"
"9398",2012-09-14 23:00:00,"23:00:00","3","0","1","1",25.42,29.545,78,60.032,195,"zaterdag"
"4492",2011-10-19 06:00:00,"06:00:00","4","0","1","3",21.32,25,83,169.979,31,"zondag"
"1421",2011-04-05 02:00:00,"02:00:00","2","0","1","2",22.14,25.76,73,220.028,5,"woensdag"
"4078",2011-10-01 23:00:00,"23:00:00","4","0","0","3",14.76,17.425,93,150.013,65,"zaterdag"
"985",2011-03-05 12:00:00,"12:00:00","1","0","0","2",18.04,21.97,67,169.979,167,"zondag"
"1955",2011-05-08 09:00:00,"09:00:00","2","0","0","1",22.96,26.515,52,150.013,160,"dinsdag"
"3710",2011-09-05 12:00:00,"12:00:00","3","1","0","2",29.52,34.09,70,12.998,353,"dinsdag"
"10325",2012-11-15 15:00:00,"15:00:00","4","0","1","2",15.58,19.695,58,110.014,217,"vrijdag"
"5177",2011-12-09 19:00:00,"19:00:00","4","0","1","1",13.94,18.18,61,0,199,"zondag"
"2655",2011-06-18 13:00:00,"13:00:00","2","0","0","1",31.16,34.85,55,0,327,"woensdag"
"3305",2011-08-07 15:00:00,"15:00:00","3","0","0","3",29.52,34.85,74,199.995,326,"maandag"
"5938",2012-02-03 15:00:00,"15:00:00","1","0","1","1",15.58,19.695,40,0,216,"donderdag"
"8523",2012-07-16 12:00:00,"12:00:00","3","0","1","1",34.44,39.395,49,89.981,237,"woensdag"
"4702",2011-11-09 00:00:00,"00:00:00","4","0","1","1",14.76,18.94,87,0,13,"vrijdag"
"8555",2012-07-17 20:00:00,"20:00:00","3","0","1","1",35.26,37.88,34,110.014,427,"donderdag"
"4002",2011-09-17 19:00:00,"19:00:00","3","0","0","1",21.32,25,68,89.981,256,"woensdag"
"6625",2012-03-13 08:00:00,"08:00:00","1","0","1","1",18.86,22.725,82,190.012,593,"woensdag"
"5693",2012-01-12 09:00:00,"09:00:00","1","0","1","1",13.12,16.665,81,70.015,230,"vrijdag"
"6399",2012-03-03 21:00:00,"21:00:00","1","0","0","1",18.86,22.725,19,220.028,154,"donderdag"
"6938",2012-04-07 10:00:00,"10:00:00","2","0","0","1",17.22,21.21,28,169.979,363,"vrijdag"
"356",2011-01-16 08:00:00,"08:00:00","1","0","0","1",9.02,10.605,55,190.012,18,"woensdag"
"9176",2012-09-05 17:00:00,"17:00:00","3","0","1","1",31.16,36.365,66,169.979,863,"dinsdag"
"9485",2012-09-18 14:00:00,"14:00:00","3","0","1","3",24.6,25.76,94,310.009,143,"donderdag"
"7206",2012-04-18 15:00:00,"15:00:00","2","0","1","3",17.22,21.21,77,12.998,98,"vrijdag"
"3033",2011-07-15 07:00:00,"07:00:00","3","0","1","1",26.24,30.305,65,70.015,274,"maandag"
"10",2011-01-01 10:00:00,"10:00:00","1","0","0","1",15.58,19.695,76,169.979,36,"zaterdag"
"5388",2011-12-18 14:00:00,"14:00:00","4","0","0","1",12.3,14.395,49,190.012,219,"donderdag"
"1058",2011-03-08 15:00:00,"15:00:00","1","0","1","2",14.76,18.94,18,0,112,"donderdag"
"8680",2012-08-04 01:00:00,"01:00:00","3","0","0","1",29.52,35.605,84,12.998,122,"vrijdag"
"10511",2012-12-04 09:00:00,"09:00:00","4","0","1","1",18.86,22.725,82,70.015,336,"maandag"
"9044",2012-08-19 05:00:00,"05:00:00","3","0","0","2",24.6,29.545,73,89.981,11,"dinsdag"
"355",2011-01-16 07:00:00,"07:00:00","1","0","0","2",9.84,10.605,56,199.995,3,"woensdag"
"1668",2011-04-15 10:00:00,"10:00:00","2","1","0","1",20.5,24.24,55,12.998,122,"maandag"
"4122",2011-10-03 19:00:00,"19:00:00","4","0","1","1",16.4,20.455,76,0,315,"maandag"
"4404",2011-10-15 13:00:00,"13:00:00","4","0","0","1",24.6,31.06,35,310.009,394,"dinsdag"
"5651",2012-01-10 15:00:00,"15:00:00","1","0","1","1",17.22,21.21,38,199.995,136,"woensdag"
"1984",2011-05-09 14:00:00,"14:00:00","2","0","1","1",25.42,31.06,41,150.013,162,"woensdag"
"7104",2012-04-14 09:00:00,"09:00:00","2","0","0","1",17.22,21.21,54,89.981,265,"zondag"
"6892",2012-04-05 12:00:00,"12:00:00","2","0","1","1",18.04,21.97,33,0,276,"woensdag"
"1944",2011-05-07 22:00:00,"22:00:00","2","0","0","1",22.14,25.76,49,12.998,120,"zondag"
"4971",2011-12-01 05:00:00,"05:00:00","4","0","1","1",10.66,12.12,56,169.979,24,"donderdag"
"8414",2012-07-11 23:00:00,"23:00:00","3","0","1","2",28.7,32.575,58,169.979,152,"woensdag"
"3516",2011-08-16 10:00:00,"10:00:00","3","0","1","1",28.7,32.575,58,260.027,111,"zaterdag"
"7522",2012-05-12 19:00:00,"19:00:00","2","0","0","2",26.24,31.06,36,110.014,439,"zondag"
"6896",2012-04-05 16:00:00,"16:00:00","2","0","1","1",20.5,24.24,31,12.998,402,"woensdag"
"4678",2011-11-08 00:00:00,"00:00:00","4","0","1","1",13.94,17.425,87,60.032,18,"donderdag"
"9821",2012-10-13 14:00:00,"14:00:00","4","0","0","1",19.68,23.485,33,12.998,597,"zondag"
"4790",2011-11-12 16:00:00,"16:00:00","4","0","0","1",21.32,25,32,169.979,361,"dinsdag"
"8385",2012-07-10 18:00:00,"18:00:00","3","0","1","3",28.7,33.335,74,150.013,819,"dinsdag"
"10474",2012-12-02 20:00:00,"20:00:00","4","0","0","2",17.22,21.21,82,12.998,154,"vrijdag"
"7526",2012-05-12 23:00:00,"23:00:00","2","0","0","1",23.78,27.275,56,60.032,176,"zondag"
"10820",2012-12-17 06:00:00,"06:00:00","4","0","1","2",14.76,17.425,93,89.981,108,"woensdag"
"8030",2012-06-14 23:00:00,"23:00:00","2","0","1","2",25.42,30.305,69,110.014,172,"vrijdag"
"3480",2011-08-14 22:00:00,"22:00:00","3","0","0","3",24.6,27.275,88,329.975,39,"woensdag"
"3660",2011-09-03 10:00:00,"10:00:00","3","0","0","3",27.06,31.06,65,169.979,258,"zaterdag"
"2946",2011-07-11 16:00:00,"16:00:00","3","0","1","1",35.26,42.425,56,260.027,239,"woensdag"
"10526",2012-12-05 00:00:00,"00:00:00","4","0","1","1",20.5,24.24,59,190.012,37,"dinsdag"
"3112",2011-07-18 14:00:00,"14:00:00","3","0","1","1",33.62,39.395,56,220.028,138,"vrijdag"
"3126",2011-07-19 04:00:00,"04:00:00","3","0","1","1",29.52,34.09,70,89.981,5,"zaterdag"
"7008",2012-04-10 08:00:00,"08:00:00","2","0","1","1",15.58,19.695,62,89.981,692,"dinsdag"
"8529",2012-07-16 18:00:00,"18:00:00","3","0","1","1",34.44,40.15,53,0,794,"woensdag"
"1334",2011-04-01 11:00:00,"11:00:00","2","0","1","1",13.12,14.395,61,239.994,89,"vrijdag"
"3652",2011-09-03 02:00:00,"02:00:00","3","0","0","2",26.24,30.305,69,150.013,41,"zaterdag"
"3826",2011-09-10 10:00:00,"10:00:00","3","0","0","1",28.7,32.575,65,169.979,318,"maandag"
"235",2011-01-11 02:00:00,"02:00:00","1","0","1","2",6.56,7.575,55,12.998,3,"donderdag"
"8461",2012-07-13 22:00:00,"22:00:00","3","0","1","1",30.34,33.335,45,0,263,"zaterdag"
"9419",2012-09-15 20:00:00,"20:00:00","3","0","0","1",24.6,31.06,43,60.032,330,"zondag"
"10115",2012-11-06 20:00:00,"20:00:00","4","0","1","1",12.3,14.395,61,150.013,228,"maandag"
"7267",2012-05-02 04:00:00,"04:00:00","2","0","1","1",22.14,25.76,88,0,4,"maandag"
"5308",2011-12-15 06:00:00,"06:00:00","4","0","1","1",13.12,15.91,66,12.998,92,"zondag"
"4110",2011-10-03 07:00:00,"07:00:00","4","0","1","2",14.76,17.425,71,89.981,249,"maandag"
"3371",2011-08-10 09:00:00,"09:00:00","3","0","1","1",31.16,34.09,48,150.013,180,"vrijdag"
"1213",2011-03-15 08:00:00,"08:00:00","1","0","1","1",10.66,14.395,70,60.032,282,"vrijdag"
"8411",2012-07-11 20:00:00,"20:00:00","3","0","1","1",30.34,33.335,51,110.014,483,"woensdag"
"16",2011-01-01 16:00:00,"16:00:00","1","0","0","2",17.22,21.21,82,199.995,93,"zaterdag"
"5613",2012-01-09 00:00:00,"00:00:00","1","0","1","1",9.84,11.365,60,150.013,15,"dinsdag"
"3982",2011-09-16 23:00:00,"23:00:00","3","0","1","1",20.5,24.24,59,0,126,"dinsdag"
"9732",2012-10-09 21:00:00,"21:00:00","4","0","1","2",19.68,23.485,77,89.981,225,"dinsdag"
"6167",2012-02-13 05:00:00,"05:00:00","1","0","1","1",4.1,6.06,58,89.981,17,"woensdag"
"4103",2011-10-03 00:00:00,"00:00:00","4","0","1","1",13.94,17.425,87,70.015,16,"maandag"
"2888",2011-07-09 06:00:00,"06:00:00","3","0","0","2",26.24,28.79,83,12.998,38,"maandag"
"5821",2012-01-17 18:00:00,"18:00:00","1","0","1","1",18.86,22.725,63,300.026,463,"vrijdag"
"199",2011-01-09 14:00:00,"14:00:00","1","0","0","1",9.02,9.09,32,310.009,72,"dinsdag"
"1736",2011-04-18 06:00:00,"06:00:00","2","0","1","1",16.4,20.455,82,0,54,"vrijdag"
"5675",2012-01-11 15:00:00,"15:00:00","1","0","1","2",13.94,17.425,87,60.032,79,"donderdag"
"7338",2012-05-05 03:00:00,"03:00:00","2","0","0","1",23.78,27.275,83,0,32,"vrijdag"
"8803",2012-08-09 04:00:00,"04:00:00","3","0","1","2",27.88,31.82,89,89.981,10,"donderdag"
"9298",2012-09-10 19:00:00,"19:00:00","3","0","1","1",25.42,31.06,38,199.995,633,"maandag"
"1618",2011-04-13 08:00:00,"08:00:00","2","0","1","3",15.58,19.695,94,12.998,164,"zaterdag"
"7960",2012-06-12 01:00:00,"01:00:00","2","0","1","2",27.88,31.82,65,110.014,16,"woensdag"
"8526",2012-07-16 15:00:00,"15:00:00","3","0","1","1",35.26,40.15,47,169.979,237,"woensdag"
"3787",2011-09-08 19:00:00,"19:00:00","3","0","1","3",25.42,25.76,100,220.028,52,"zaterdag"
"6979",2012-04-09 03:00:00,"03:00:00","2","0","1","1",18.04,21.97,30,110.014,3,"maandag"
"8777",2012-08-08 02:00:00,"02:00:00","3","0","1","1",28.7,33.335,84,0,6,"woensdag"
"2596",2011-06-16 02:00:00,"02:00:00","2","0","1","1",24.6,31.06,56,60.032,5,"maandag"
"2958",2011-07-12 04:00:00,"04:00:00","3","0","1","1",28.7,33.335,79,110.014,6,"vrijdag"
"4020",2011-09-18 13:00:00,"13:00:00","3","0","0","1",22.96,26.515,60,89.981,376,"donderdag"
"510",2011-02-04 10:00:00,"10:00:00","1","0","1","2",8.2,10.605,51,89.981,51,"vrijdag"
"1284",2011-03-18 09:00:00,"09:00:00","1","0","1","1",18.86,22.725,63,150.013,210,"dinsdag"
"522",2011-02-04 22:00:00,"22:00:00","1","0","1","2",9.84,12.12,65,110.014,46,"vrijdag"
